Date,Year,Type,Area,Location,Activity,Sex,Fatal (Y/N),Species
1935-05-12,1935,Unprovoked,Torres Strait,On edge of reef near Warrior Island,Pearl Diving,M,N,Shark
1935-04-25,1935,Invalid,New South Wales,Coogee,Unknown,M,Unknown,
1935-04-12,1935,Unprovoked,Unknown,Unknown,Diving,F,N,
1935-04-08,1935,Unprovoked,California,"Hermosa Beach, Los Angeles County",Unknown,M,N,
1935-03-30,1935,Unprovoked,Queensland,Barrier Reef off Mackay,Unknown,M,N,
1935-03-25,1935,Provoked,KwaZulu-Natal,"North Pier, Durban",Unknown,M,N,
1935-03-20,1935,Unprovoked,Torres Strait,Three Mile Reef off Lizard Island 50 miles north of Cooktown,Unknown,M,N,Tiger Shark
1935-03-13,1935,Provoked,Queensland,Pimpana River,Unknown,M,N,Nose Shark
1935-03-11,1935,Unprovoked,New South Wales,Newcastle,Surfing,M,N,
1935-03-09,1935,Unprovoked,New South Wales,Maroubra Beach,Swimming,M,Y,White Shark
1935-03-02,1935,Unprovoked,New South Wales,North Narrabeen Beach,Standing,M,Y,White Shark
1935-02-14,1935,Unprovoked,New South Wales,Austinmer,Unknown,M,N,
1935-01-24,1935,Unprovoked,New South Wales,"Off Ben Buckler, near Sydney",Fishing,M,N,Tiger Shark
1935-01-24,1935,Boating,Queensland,"Ross River, Townsville",Unknown,Unknown,N,Shark
1935-01-21,1935,Invalid,Herzliyah,Sidny Ali,Unknown,Unknown,Unknown,Shark
1935-01-17,1935,Invalid,Queensland,"Seaforth River, near MacKay",Unknown,M,Unknown,
1934-12-31,1934,Unprovoked,New South Wales,Georges River at Kentucky,Unknown,F,N,Tiger Shark
1934-12-31,1934,Unprovoked,New South Wales,"St. Georges River at Moorebank, near Milperra Bridge",Unknown,M,Y,
1934-12-23,1934,Unprovoked,New South Wales,Woy Woyon the Brisbane Waters,Unknown,M,Y,
1934-12-23,1934,Unprovoked,New South Wales,Woy Woy on the Brisbane Waters,Unknown,M,N,
1934-10-09,1934,Unprovoked,Northern Territory,"Redcliff, Cobourg Peninsula",Bathing,F,Y,
1934-10-08,1934,Provoked,Hamilton,Hamilton Parish,Fishing,M,N,
1934-10-02,1934,Unprovoked,Torres Strait,Warrior Reefs,Unknown,M,Y,
1934-09-08,1934,Provoked,Hamilton,Nine miles off Frasconi Flats,Fishing,M,N,Shark
1934-08-27,1934,Boating,Sicily,Catania,Unknown,M,N,White Shark
1934-08-26,1934,Invalid,Unknown,Kralievica,Swimming,F,Unknown,
1934-08-26,1934,Unprovoked,Queensland,Off Eva Island 20 miles from Cardwell,Unknown,M,Y,
1934-08-21,1934,Unprovoked,Adriatic Sea,"Susak (Rijeka, Istria)",Swimming,F,Y,White Shark
1934-08-05,1934,Unprovoked,Georgia,"Thunderbolt, Chatham County",Swimming,M,N,
1934-07-11,1934,Boating,New South Wales,Cronulla,Fishing,M,N,
1934-06-21,1934,Provoked,New South Wales,Off Mooloolabah,Fishing,M,N,Nosed Shark
1934-06-20,1934,Unprovoked,Florida,"Melbourne, Brevard County",Standing,M,Y,
1934-04-15,1934,Unprovoked,Queensland,"Elephant Rock, Currumbin near Southport",Body Surfing,M,N,
1934-04-01,1934,Unprovoked,KwaZulu-Natal,"Grannys Pool, Winkelspruit",Swimming,M,Y,
1934-04-01,1934,Unprovoked,KwaZulu-Natal,"Danger Pool, Winkelspruit",Swimming,M,N,
1934-04-01,1934,Unprovoked,New South Wales,North Steyne,Unknown,M,Y,Shark
1934-03-12,1934,Unprovoked,New South Wales,"Dee Why, north of Queenscliff",Unknown,M,Y,Shark
1934-03-01,1934,Provoked,New South Wales,Cronulla,Fishing,Unknown,N,Mako Shark
1934-02-24,1934,Unprovoked,Torres Strait,Adolphus Channel,Unknown,M,N,Tiger Sharkshark
1934-02-22,1934,Unprovoked,Elqui Province,Coquimbo,Unknown,M,Y,
1924-02-08,1934,Boating,Istanbul,"Haydarpasa jetty, Istanbul",Fishing,M,N,
1934-01-27,1934,Unprovoked,New South Wales,"Lambeth Street Wharf, Georges River, East Hills (20 miles from river mouth)",Unknown,M,N,
1934-01-07,1934,Unprovoked,New South Wales,Queenscliff,Unknown,M,N,Shark
1933-11-20,1933,Unprovoked,Torres Strait,Near Boydong Cay,Unknown,M,Y,Tiger Shark
1933-11-18,1933,Unprovoked,Queensland,Near Barrow Point,Pearl Diving,M,N,Tiger Shark
1933-10-25,1933,Unprovoked,Queensland,Off Bloomfield River,Diving,M,N,
1933-09-27,1933,Boating,Unknown,Nabi Rubin,Fishing,M,N,Shark
1933-08-28,1933,Provoked,California,"Hermosa Beach, Los Angeles County",Unknown,M,N,Blue Shark
